STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201001,2,-7777,0,0,0,0,0,0,0,4,2,999,1000,1000,1000,1000,1000,-7777,0,0,0,0,0,0,0,399,552,707,862,924,1017,1172,26,0,81,50,161,110,97,81,28,22,0,6,1,53,26,2,-7777,119,1,64,20,0,115,15,0,0,0,0,70,17,76,175,295,310,310,310,310,272,204,374,170,42,31,37,51
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201002,7,1,-7777,0,0,0,0,0,0,15,10,991,1000,1000,1000,1000,1000,1,-7777,0,0,0,0,0,0,297,431,570,710,766,850,990,27,0,44,30,94,70,66,40,16,14,0,4,-7777,55,18,-7777,0,72,1,40,17,0,152,41,6,0,0,0,43,13,45,137,267,279,280,280,280,297,221,407,186,41,34,47,41
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201003,28,6,1,-7777,-7777,0,0,0,0,58,44,955,1000,1000,1000,1000,1000,6,1,-7777,-7777,0,0,0,0,181,313,463,617,679,772,927,23,0,58,0,81,30,60,13,9,8,0,2,-7777,60,22,-7777,0,9,0,1,0,0,252,121,35,2,0,0,7,-7777,13,117,290,309,310,310,310,351,258,480,222,26,39,39,23
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201004,103,45,15,3,1,-7777,-7777,-7777,0,132,112,831,973,999,1000,1000,1000,45,15,3,1,-7777,-7777,-7777,0,95,186,306,444,502,591,741,26,0,39,0,77,20,57,8,5,4,0,1,0,51,21,1,0,4,0,-7777,0,0,283,192,104,32,2,0,1,0,3,79,238,294,300,300,300,403,302,554,252,33,32,45,26
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201005,249,143,72,31,21,10,2,-7777,0,242,213,452,774,956,996,1000,1000,143,72,31,21,10,2,-7777,0,23,71,155,269,321,403,550,62,0,106,0,149,0,110,2,2,1,0,-7777,0,60,31,4,-7777,-7777,0,0,0,0,309,278,184,84,26,1,0,0,-7777,29,175,266,307,310,310,473,321,634,312,30,33,40,27
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201006,431,292,174,86,60,34,9,1,-7777,353,321,27,190,555,888,989,1000,292,174,86,60,34,9,1,-7777,1,13,45,107,141,204,330,47,0,82,0,101,0,78,0,0,0,0,0,0,47,29,3,0,0,0,0,0,0,300,298,258,175,62,3,0,0,0,3,72,190,287,300,300,543,342,714,372,25,25,32,23
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201007,689,535,384,245,195,130,50,11,5,516,479,0,16,126,369,715,941,535,384,245,195,130,50,11,5,-7777,1,4,21,33,60,136,0,0,27,0,76,0,48,0,0,0,0,0,0,25,15,2,-7777,0,0,0,0,1,310,310,305,278,195,43,0,0,0,0,25,107,257,308,310,622,386,816,429,37,26,43,34
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201008,662,507,357,219,171,107,38,9,4,507,472,0,15,149,468,809,970,507,357,219,171,107,38,9,4,-7777,1,5,22,36,66,151,6,0,21,0,46,0,42,0,0,0,0,0,0,26,11,2,1,0,0,0,0,0,310,310,308,280,183,35,0,0,0,0,27,122,269,309,310,614,394,811,416,22,27,26,25
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201009,403,271,160,77,53,27,5,-7777,-7777,364,334,203,519,825,966,999,1000,271,160,77,53,27,5,-7777,-7777,6,23,62,129,165,229,358,10,0,41,0,85,0,53,-7777,-7777,-7777,0,0,0,29,17,2,1,0,0,0,0,0,300,292,255,186,81,6,0,0,1,11,119,229,296,300,300,532,384,724,341,34,36,45,31
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201010,174,85,31,8,4,1,-7777,0,0,204,178,764,960,998,1000,1000,1000,85,31,8,4,1,-7777,0,0,51,116,217,350,407,497,651,26,0,57,0,100,0,62,3,2,1,0,0,0,48,25,1,0,1,0,0,0,0,299,251,163,63,9,0,1,0,2,44,224,293,310,310,310,440,326,603,277,28,42,44,22
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201011,27,7,1,-7777,-7777,0,0,0,0,39,30,984,999,1000,1000,1000,1000,7,1,-7777,-7777,0,0,0,0,235,362,506,655,715,805,955,35,0,76,20,117,79,89,36,19,17,0,3,1,75,32,3,-7777,30,0,10,4,0,200,89,23,-7777,0,0,21,6,32,125,266,296,300,300,300,331,233,448,215,38,42,43,43
GHCND:USC00351067,BROTHERS OR US,1414.3,43.8094,-120.6,201012,1,-7777,0,0,0,0,0,0,0,3,2,1000,1000,1000,1000,1000,1000,-7777,0,0,0,0,0,0,0,430,584,739,894,956,1049,1204,60,10,115,50,213,97,148,67,32,29,0,6,1,60,32,4,1,99,-7777,64,30,0,107,15,0,0,0,0,81,20,84,201,298,310,310,310,310,262,207,365,158,31,35,36,35
GHCND:USC00350694,BEND OR US,1115.6,44.0569,-121.285,201001,21,4,-7777,0,0,0,0,0,0,16,10,931,986,999,1000,1000,1000,4,-7777,0,0,0,0,0,0,247,385,536,691,753,846,1001,94,19,176,36,216,63,153,56,38,25,-7777,6,2,94,47,7,1,82,21,45,29,0,177,45,5,0,0,0,42,2,23,88,252,305,310,310,310,327,168,411,243,34,21,33,38
